subject,size,hashtag,RL,total_fix_dur_avr,total_fix_count_avr,account_fix_dur_avr,account_fix_count_avr,logo_fix_dur_avr,logo_fix_count_avr,pic_fix_dur_avr,pic_fix_count_avr,text_fix_dur_avr,text_fix_count_avr,sac_amp_avr,total_fix_dur,total_fix_count,account_fix_dur,account_fix_count,logo_fix_dur,logo _fix_count,pic_fix_dur,pic_fix_count,text_fix_dur,text_fix_count,trial count,ad_recog,brand,purch_intent,eWOM,purchase
4,large,no,r,8.58,35.67,0.05,0.33,0.23,1.33,3.27,14.00,42,15066,3.57,5022.00,20.00,25728.17,107,146,1,694,4,9822,60,3.00,6.67,4.67,4.25,2.56,4.33
4,large,yes,l,8.86,35.67,0.00,0.00,0.10,0.67,3.48,13.67,41,15835,2.63,5278.33,21.33,26566.01,107,0,0,305,2,10426,64,3.00,7,5.33,5.00,2.55,5.67
4,large,yes,r,8.65,32.50,0.00,0.00,0.30,1.50,4.22,13.50,27,8254,3.94,4127.00,17.50,17292.02,65,0,0,603,3,8435,35,2.00,6.5,6.00,6.00,3.17,6.50
5,small,no,l,8.20,36.33,0.17,0.67,0.00,0.00,2.20,9.00,27,16485,4.21,5495.00,25.33,24599.94,109,515,2,0,0,6608,76,3.00,2,4.00,2.83,3.11,3.67
5,small,no,r,8.39,35.67,0.11,0.67,0.25,1.00,2.70,10.67,32,15780,4.37,5260.00,23.00,25166.11,107,327,2,740,3,8106,69,3.00,5.33,4.33,4.67,4.22,4.67
5,small,yes,l,8.52,35.00,0.00,0.00,0.00,0.00,1.89,7.00,21,19867,3.61,6622.33,28.00,25551.09,105,0,0,0,0,5684,84,3.00,4.67,3.67,3.33,3.44,3.00
5,small,yes,r,8.38,32.67,0.10,0.33,0.00,0.00,3.16,10.33,31,14052,4.11,4684.00,20.33,25128.71,98,307,1,0,0,9489,61,3.00,5.67,4.33,4.25,3.44,4.67
5,large,no,l,8.24,36.33,0.19,1.00,0.99,3.33,2.07,8.00,24,14638,3.59,4879.33,23.67,24713.15,109,562,3,2959,10,6215,71,3.00,5,4.33,3.92,4.44,4.33
5,large,no,r,8.40,36.33,0.09,0.33,0.28,1.33,2.12,8.67,26,16648,3.79,5549.33,24.67,25191.82,109,281,1,850,4,6361,74,3.00,6,5.00,4.50,3.97,5.33
5,large,yes,l,8.37,33.67,0.00,0.00,1.14,4.67,2.40,8.67,26,14495,2.90,4831.67,20.33,25115.02,101,0,0,3410,14,7210,61,3.00,6.67,4.00,2.92,3.78,3.33
5,large,yes,r,8.41,39.00,0.00,0.00,0.63,2.00,2.32,8.50,17,10949,3.74,5474.50,28.50,16828.92,78,0,0,1250,4,4630,57,2.00,6.5,4.50,3.75,3.50,4.50
6,small,no,l,8.62,36.33,0.00,0.00,0.00,0.00,3.12,12.33,37,15131,4.51,5043.67,21.67,25847.41,109,0,0,0,0,9352,65,3.00,5.67,4.33,4.25,3.33,4.00
6,small,no,r,7.42,29.67,0.00,0.00,0.14,0.67,2.76,10.00,30,13251,3.73,4417.00,18.67,22246.92,89,0,0,415,2,8290,56,3.00,6.33,4.33,4.08,3.78,3.67
6,small,yes,l,8.60,31.00,0.36,1.33,0.00,0.00,2.68,10.00,30,14716,2.97,4905.33,18.00,25802.97,93,1084,4,0,0,8027,54,3.00,7,4.00,4.17,3.67,3.00
6,small,yes,r,8.71,35.00,0.04,0.33,0.13,0.33,2.27,8.67,26,18010,3.43,6003.33,24.33,26140.14,105,112,1,387,1,6804,73,3.00,6.67,4.00,4.42,4.11,3.67
6,large,no,l,7.64,34.00,0.04,0.33,0.29,1.67,1.77,8.00,24,15857,2.93,5285.67,22.67,22932.20,102,114,1,883,5,5297,68,3.00,6.33,4.00,3.67,2.78,2.00
6,large,no,r,8.38,34.00,0.00,0.00,0.36,2.33,4.39,16.00,48,10757,3.57,3585.67,15.33,25143.11,102,0,0,1090,7,13177,46,3.00,6,4.33,3.42,2.44,2.00
6,large,yes,l,7.95,33.67,0.04,0.33,0.65,3.33,2.46,11.00,33,11581,2.92,3860.33,15.67,23860.87,101,134,1,1943,10,7393,47,3.00,7,4.67,5.50,5.44,6.33
6,large,yes,r,8.68,32.00,0.00,0.00,0.25,1.00,3.09,10.00,20,10688,3.68,5344.00,21.00,17357.76,64,0,0,494,2,6176,42,2.00,7,4.50,4.50,4.00,4.50
7,small,no,l,8.13,34.67,0.34,1.00,0.00,0.00,1.43,6.00,18,19005,3.34,6335.00,27.67,24379.74,104,1014,3,0,0,4301,83,3.00,4.33,4.00,3.92,2.89,4.33
7,small,no,r,8.73,34.67,0.26,1.33,0.33,1.33,2.77,9.33,28,15843,3.71,5281.00,22.33,26202.10,104,771,4,993,4,8312,67,3.00,4.67,4.67,4.67,3.78,4.67
7,small,yes,l,8.29,31.67,0.00,0.00,0.00,0.00,2.39,8.67,26,17697,3.23,5899.00,23.00,24864.81,95,0,0,0,0,7168,69,3.00,3,4.67,4.92,3.78,5.33
7,small,yes,r,8.43,35.67,0.00,0.00,0.00,0.00,1.82,7.00,21,19831,3.23,6610.33,28.67,25284.28,107,0,0,0,0,5453,86,3.00,4.33,4.00,4.67,3.44,4.67
7,large,no,l,8.31,35.33,0.00,0.00,0.40,2.00,1.39,6.00,18,19553,3.59,6517.67,27.33,24919.06,106,0,0,1185,6,4181,82,3.00,5.67,4.67,4.42,3.67,5.00
7,large,no,r,8.22,36.00,0.00,0.00,0.23,1.67,1.33,6.33,19,19957,3.58,6652.33,28.00,24649.99,108,0,0,698,5,3995,84,3.00,5,3.67,4.17,3.22,4.67
7,large,yes,l,8.17,36.00,0.00,0.00,0.24,1.67,0.30,1.33,4,22860,2.33,7620.00,33.00,24497.95,108,0,0,732,5,906,99,3.00,3.33,4.33,4.42,4.00,5.00
7,large,yes,r,8.44,36.00,0.18,0.50,0.00,0.00,0.71,4.00,8,15086,3.20,7543.00,31.50,16881.12,72,369,1,0,0,1426,63,2.00,4,4.00,4.50,3.67,4.00
8,small,no,l,8.21,36.67,0.39,1.67,0.00,0.00,2.80,10.67,32,15037,3.86,5012.33,24.33,24619.01,110,1171,5,0,0,8411,73,3.00,5.67,4.33,4.25,3.44,5.00
8,small,no,r,8.44,37.00,0.00,0.00,0.06,0.33,2.43,10.00,30,17717,3.01,5905.67,26.33,25326.17,111,0,0,184,1,7290,79,3.00,5,5.67,5.75,5.11,6.00
