size,hashtag,RL,trial count,total_fix_dur_avr,total fix_count_avr,account_fix_dur_avr,account_fix_count_avr,logo_fix_dur_avr,logo_fix_count_avr,pic_fix_dur_avr,pic_fix_count_avr,total fixation duration,total fixation count,fix.dur account,"fix.count account ",fix.dur logo,fix.count logo,fix.dur picture,fix.count picture,fix.dur text,"fix.dur text average","fix.count text average",fix.count text,"sac.amplitude trial average"
b,low,l,3.00,8237.72,36.33,187.33,1.00,986.33,3.33,2071.67,8.00,4879.33,23.67,24713.15,109,562,3,2959,10,6215,24,14638,71,3.59
b,low,r,3.00,8397.27,36.33,93.67,0.33,283.33,1.33,2120.33,8.67,5549.33,24.67,25191.82,109,281,1,850,4,6361,26,16648,74,3.79
b,high,l,3.00,8371.67,33.67,0.00,0.00,1136.67,4.67,2403.33,8.67,4831.67,20.33,25115.02,101,0,0,3410,14,7210,26,14495,61,2.90
b,high,r,2.00,8414.46,39.00,0.00,0.00,625.00,2.00,2315.00,8.50,5474.50,28.50,16828.92,78,0,0,1250,4,4630,17,10949,57,3.74
s,low,l,3.00,8615.80,36.33,0.00,0.00,0.00,0.00,3117.33,12.33,5043.67,21.67,25847.41,109,0,0,0,0,9352,37,15131,65,4.51
s,low,r,3.00,7415.64,29.67,0.00,0.00,138.33,0.67,2763.33,10.00,4417.00,18.67,22246.92,89,0,0,415,2,8290,30,13251,56,3.73
s,high,l,3.00,8600.99,31.00,361.33,1.33,0.00,0.00,2675.67,10.00,4905.33,18.00,25802.97,93,1084,4,0,0,8027,30,14716,54,2.97
s,high,r,3.00,8713.38,35.00,37.33,0.33,129.00,0.33,2268.00,8.67,6003.33,24.33,26140.14,105,112,1,387,1,6804,26,18010,73,3.43
b,low,l,3.00,7644.07,34.00,38.00,0.33,294.33,1.67,1765.67,8.00,5285.67,22.67,22932.20,102,114,1,883,5,5297,24,15857,68,2.93
b,low,r,3.00,8381.04,34.00,0.00,0.00,363.33,2.33,4392.33,16.00,3585.67,15.33,25143.11,102,0,0,1090,7,13177,48,10757,46,3.57
b,high,l,3.00,7953.62,33.67,44.67,0.33,647.67,3.33,2464.33,11.00,3860.33,15.67,23860.87,101,134,1,1943,10,7393,33,11581,47,2.92
b,high,r,2.00,8678.88,32.00,0.00,0.00,247.00,1.00,3088.00,10.00,5344.00,21.00,17357.76,64,0,0,494,2,6176,20,10688,42,3.68
s,low,l,3.00,8126.58,34.67,338.00,1.00,0.00,0.00,1433.67,6.00,6335.00,27.67,24379.74,104,1014,3,0,0,4301,18,19005,83,3.34
s,low,r,3.00,8734.03,34.67,257.00,1.33,331.00,1.33,2770.67,9.33,5281.00,22.33,26202.10,104,771,4,993,4,8312,28,15843,67,3.71
s,high,l,3.00,8288.27,31.67,0.00,0.00,0.00,0.00,2389.33,8.67,5899.00,23.00,24864.81,95,0,0,0,0,7168,26,17697,69,3.23
s,high,r,3.00,8428.09,35.67,0.00,0.00,0.00,0.00,1817.67,7.00,6610.33,28.67,25284.28,107,0,0,0,0,5453,21,19831,86,3.23
b,low,l,3.00,8306.35,35.33,0.00,0.00,395.00,2.00,1393.67,6.00,6517.67,27.33,24919.06,106,0,0,1185,6,4181,18,19553,82,3.59
b,low,r,3.00,8216.66,36.00,0.00,0.00,232.67,1.67,1331.67,6.33,6652.33,28.00,24649.99,108,0,0,698,5,3995,19,19957,84,3.58
b,high,l,3.00,8165.98,36.00,0.00,0.00,244.00,1.67,302.00,1.33,7620.00,33.00,24497.95,108,0,0,732,5,906,4,22860,99,2.33
b,high,r,2.00,8440.56,36.00,184.50,0.50,0.00,0.00,713.00,4.00,7543.00,31.50,16881.12,72,369,1,0,0,1426,8,15086,63,3.20
s,low,l,3.00,8206.34,36.67,390.33,1.67,0.00,0.00,2803.67,10.67,5012.33,24.33,24619.01,110,1171,5,0,0,8411,32,15037,73,3.86
s,low,r,3.00,8442.06,37.00,0.00,0.00,61.33,0.33,2430.00,10.00,5905.67,26.33,25326.17,111,0,0,184,1,7290,30,17717,79,3.01
s,high,l,3.00,8266.98,35.67,66.67,0.33,0.00,0.00,2454.67,10.33,5745.67,25.00,24800.95,107,200,1,0,0,7364,31,17237,75,4.09
s,high,r,3.00,8580.75,35.33,0.00,0.00,143.33,0.67,2364.67,8.00,6072.67,26.67,25742.24,106,0,0,430,2,7094,24,18218,80,3.26
b,low,l,2.00,12609.54,58.00,0.00,0.00,0.00,0.00,3390.50,14.00,5884.00,28.50,25219.08,116,0,0,0,0,6781,28,11768,57,3.90
b,low,r,3.00,8536.63,35.67,0.00,0.00,0.00,0.00,2695.67,9.33,5731.67,25.67,25609.89,107,0,0,0,0,8087,28,17195,77,3.65
b,high,l,3.00,8887.02,36.00,0.00,0.00,167.00,1.00,1539.67,5.67,7180.33,29.33,26661.06,108,0,0,501,3,4619,17,21541,88,2.64
b,high,r,2.00,8396.07,32.00,62.00,0.50,569.50,3.00,2134.50,7.00,5630.00,22.50,16792.14,64,124,1,1139,6,4269,14,11260,45,3.67
s,low,l,3.00,7056.08,33.33,407.00,2.00,0.00,0.00,1481.33,5.67,3880.67,18.67,21168.24,100,1221,6,0,0,4444,17,11642,56,4.86
s,low,r,3.00,6377.96,33.00,456.67,1.67,98.00,0.67,1158.00,5.67,4373.33,23.00,19133.88,99,1370,5,294,2,3474,17,13120,69,4.42
s,high,l,3.00,6753.99,30.67,158.33,0.67,0.00,0.00,833.67,3.67,5078.00,23.33,20261.98,92,475,2,0,0,2501,11,15234,70,3.91
s,high,r,3.00,6563.96,31.33,285.67,1.33,34.33,0.33,1893.67,8.00,3971.33,19.67,19691.88,94,857,4,103,1,5681,24,11914,59,4.61
b,low,l,3.00,6856.24,32.33,321.00,1.67,342.33,1.67,1396.67,5.33,4529.00,22.33,20568.71,97,963,5,1027,5,4190,16,13587,67,4.40
b,low,r,3.00,6886.74,31.33,102.00,0.33,39.67,0.33,1430.33,5.33,4261.67,20.33,20660.22,94,306,1,119,1,4291,16,12785,61,4.19
b,high,l,3.00,6770.91,29.00,516.33,1.00,238.67,1.00,2066.67,9.00,3759.00,17.00,20312.73,87,1549,3,716,3,6200,27,11277,51,4.14
b,high,r,2.00,7399.55,34.00,428.00,2.00,214.50,1.50,980.00,4.50,4768.50,21.00,14799.09,68,856,4,429,3,1960,9,9537,42,4.69
s,low,l,3.00,7160.58,31.00,45.00,0.33,0.00,0.00,3396.00,14.67,3649.33,15.67,21481.73,93,135,1,0,0,10188,44,10948,47,4.61
s,low,r,3.00,7795.75,32.67,0.00,0.00,179.00,0.67,3522.33,15.33,3381.67,14.00,23387.26,98,0,0,537,2,10567,46,10145,42,4.08
s,high,l,3.00,7151.69,30.33,73.67,0.33,0.00,0.00,3271.33,14.67,3711.33,14.67,21455.06,91,221,1,0,0,9814,44,11134,44,3.73
s,high,r,3.00,7805.58,31.33,83.67,0.33,117.67,0.67,2747.33,10.67,4735.00,19.00,23416.75,94,251,1,353,2,8242,32,14205,57,4.45
b,low,l,3.00,7955.28,37.00,0.00,0.00,204.00,1.33,3764.33,17.00,3390.67,15.67,23865.84,111,0,0,612,4,11293,51,10172,47,4.02
b,low,r,3.00,8387.89,36.67,47.67,0.33,285.67,1.33,3560.33,15.67,4494.33,19.33,25163.68,110,143,1,857,4,10681,47,13483,58,3.69
b,high,l,3.00,6507.99,27.67,190.00,1.00,254.67,1.00,2604.67,11.00,3223.33,14.00,19523.96,83,570,3,764,3,7814,33,9670,42,3.53
b,high,r,2.00,8185.58,30.00,152.00,0.50,250.00,1.00,2871.50,9.50,4603.00,16.50,16371.15,60,304,1,500,2,5743,19,9206,33,4.57
s,low,l,2.00,8472.03,33.50,201.50,0.50,0.00,0.00,"3,544.00",13.50,"4,726.50",19.50,16944.06,67,403,1,0,0,7088,27,9453,39,4.72
s,low,r,1.00,8889.08,29.00,0.00,0.00,0.00,0.00,907.00,4.00,"6,482.00",22.00,8889.08,29,0,0,0,0,907,4,6482,22,3.82
s,high,l,2.00,8594.93,28.00,0.00,0.00,0.00,0.00,"1,352.50",4.50,"7,242.50",23.50,17189.85,56,0,0,0,0,2705,9,14485,47,3.40
s,high,r,3.00,8856.36,29.33,0.00,0.00,0.00,0.00,"2,397.23",6.00,"7,147.33",23.33,26569.07,88,0,0,0,0,7191.69,18,21442,70,2.84
b,low,l,3.00,7500.97,29.33,0.00,0.00,268.00,1.33,"2,070.33",7.00,"5,035.67",20.00,22502.92,88,0,0,804,4,6211,21,15107,60,3.81
b,low,r,3.00,7675.04,26.33,0.00,0.00,421.67,1.33,"2,040.33",6.67,"5,186.33",18.00,23025.13,79,0,0,1265,4,6121,20,15559,54,4.12
b,high,l,3.00,8579.61,29.33,0.00,0.00,786.67,2.33,"2,495.67",6.33,"5,009.67",19.00,25738.83,88,0,0,2360,7,7487,19,15029,57,3.62
b,high,r,2.00,8229.50,28.50,0.00,0.00,123.50,0.50,676.00,2.50,"7,430.00",25.50,16458.99,57,0,0,247,1,1352,5,14860,51,3.02
s,low,l,3.00,8425.76,34.00,338.33,1.00,0.00,0.00,"3,053.00",9.00,"4,119.33",20.00,25277.29,102,1015,3,0,0,9159,27,12358,60,4.04
s,low,r,3.00,8589.36,29.33,0.00,0.00,196.67,1.00,"3,540.33",9.00,"4,407.33",17.33,25768.08,88,0,0,590,3,10621,27,13222,52,3.87
s,high,l,3.00,8377.07,31.00,430.00,1.00,0.00,0.00,"1,822.67",6.67,"6,060.33",23.00,25131.21,93,1290,3,0,0,5468,20,18181,69,3.34
s,high,r,3.00,8546.38,33.33,164.67,0.67,0.00,0.00,"1,785.67",6.33,"6,415.33",25.67,25639.14,100,494,2,0,0,5357,19,19246,77,3.38
b,low,l,3.00,8521.36,36.00,127.00,0.33,217.00,1.33,"3,021.33",9.67,"4,957.00",24.00,25564.07,108,381,1,651,4,9064,29,14871,72,3.57
b,low,r,3.00,8553.32,33.33,122.33,0.67,284.33,1.00,"4,108.33",13.33,"3,779.67",17.00,25659.96,100,367,2,853,3,12325,40,11339,51,4.78
b,high,l,3.00,8896.69,33.67,47.67,0.33,199.33,1.00,"2,330.33",7.67,"5,678.00",23.00,26690.08,101,143,1,598,3,6991,23,17034,69,2.85
b,high,r,2.00,8805.92,32.00,0.00,0.00,377.50,1.50,"2,257.00",4.50,"5,951.50",25.00,17611.84,64,0,0,755,3,4514,9,11903,50,3.37
