size	RL	hashtag	N	Mean	SD	SE	95% Conf.	Interval
b	l	high	12	4.916666666666667	1.0369477354527596	0.29934102709961175	4.329958253551428	5.503375079781906
b	l	low	12	4.514166666666667	0.947719351758193	0.2735830114269052	3.977943964269933	5.050389369063401
b	r	high	12	5.166666666666667	0.9374368665610922	0.27061471362866296	4.636261827954487	5.6970715053788465
b	r	low	12	4.723333333333334	0.8131122401928992	0.234725285378375	4.263271773991718	5.183394892674949
s	l	high	12	4.264166666666667	0.7767702167932093	0.22423424688202173	3.8246675427779047	4.70366579055543
s	l	low	12	4.429166666666666	0.8115244726420575	0.23426693636693052	3.9700034713874826	4.88832986194585
s	r	high	12	4.721666666666667	1.1356202416888022	0.32782532611810894	4.079129027475173	5.36420430585816
s	r	low	12	4.944166666666667	0.777097844937213	0.22432882498058898	4.504482169704713	5.383851163628621
